data,giocatori,punti_obiettivo,piazzamento,obiettivo_completato,giocatori_eliminati,eliminato
25/09/2025,"[""Matte"",""Sacha"",""Riky"",""Ale"",""Lozzio""]","[""21"",""25"",""15"",""19"",""37""]","[""3"",""2"",""5"",""4"",""1""]","[""0"",""0"",""0"",""0"",""0""]","[""0"",""0"",""0"",""0"",""0""]","[""0"",""0"",""0"",""0"",""0""]"
01/10/2025,"[""Sacha"",""Matte"",""Riky""]","[""18"",""20"",""12""]","[""2"",""1"",""3""]","[""0"",""1"",""0""]","[""1"",""0"",""0""]","[""0"",""20"",""1""]"
